Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-05-18,Texas,47784,24848,22028,,,,
2020-05-18,US Virgin Island,69,26,43,,,,
2020-05-18,Utah,7238,3799,3431,,,,
2020-05-18,Vermont,940,442,494,,,,
2020-05-18,Virginia,30388,15026,15173,,,,
2020-05-18,Washington,18433,8479,9585,,,,
2020-05-18,West Virginia,1490,639,845,,,,
2020-05-18,Wisconsin,12543,6146,6397,,,,
2020-05-18,Wyoming,566,283,280,,,,
2020-05-25,Alabama,14478,5962,8402,,,,
2020-05-25,Alaska,408,208,200,,,,
2020-05-25,Arizona,16339,7711,8609,,,,
2020-05-25,Arkansas,5922,3617,2265,,,,
2020-05-25,California,92710,46633,45613,,,,
2020-05-25,Colorado,24174,11630,12227,,,,
2020-05-25,Connecticut,40468,18145,22099,,,,
2020-05-25,Delaware,8809,3934,4831,,,,
2020-05-25,District of Columbia,8110,4070,4020,,,,
2020-05-25,Florida,50867,24443,25073,,,,
2020-05-25,Georgia,49902,0,0,,,,
2020-05-25,Hawaii,643,0,0,,,,
2020-05-25,Idaho,2626,1171,1448,,,,
2020-05-25,Illinois,110304,52830,55561,,,,
2020-05-25,Indiana,31376,14464,16159,,,,
2020-05-25,Iowa,17434,8717,8194,,,,
2020-05-25,Kansas,8958,4969,3801,,,,
2020-05-25,Kentucky,8571,4071,4251,,,,
2020-05-25,Louisiana,37169,14868,20443,,,,
2020-05-25,Maine,1845,989,1065,,,,
2020-05-25,Maryland,46313,22238,24075,,,,
2020-05-25,Massachusetts,92675,50529,40792,,,,
2020-05-25,Michigan,54679,25699,28980,,,,
2020-05-25,Minnesota,20573,9885,10279,,,,
2020-05-25,Mississippi,13252,5380,7805,,,,
2020-05-25,Missouri,11988,5431,6488,,,,
2020-05-25,Montana,479,235,244,,,,
2020-05-25,Nebraska,12134,0,0,,,,
2020-05-25,Nevada,7770,3685,3945,,,,
2020-05-25,New Hampshire,0,0,0,,,,
2020-05-25,New Jersey,154154,0,0,,,,
2020-05-25,New Mexico,6943,3225,3575,,,,
2020-05-25,New York,361515,184734,174612,,,,
2020-05-25,North Carolina,23222,11209,11634,,,,
2020-05-25,North Dakota,2418,1143,1275,,,,
2020-05-25,Ohio,29777,15782,13995,,,,
2020-05-25,Oklahoma,6037,2691,2629,,,,
2020-05-25,Oregon,3927,1863,2058,,,,
2020-05-25,Pennsylvania,67713,29809,37216,,,,
2020-05-25,Puerto Rico,1227,620,607,,,,
2020-05-25,Rhode Island,14065,6189,7876,,,,
2020-05-25,South Carolina,10096,4281,5593,,,,
2020-05-25,South Dakota,4563,2437,2126,,,,
2020-05-25,Tennessee,20145,11004,8363,,,,
2020-05-25,Texas,55348,29224,25073,,,,
2020-05-25,US Virgin Island,69,26,43,,,,
2020-05-25,Utah,8392,4422,3961,,,,
2020-05-25,Vermont,956,452,501,,,,
2020-05-25,Virginia,36244,17891,18094,,,,
2020-05-25,Washington,19828,9121,10311,,,,
2020-05-25,West Virginia,1771,786,976,,,,
2020-05-25,Wisconsin,15277,7499,7732,,,,
2020-05-25,Wyoming,638,313,323,,,,
2020-06-01,Alabama,17952,7461,10371,,,,
