Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2022-03-12,Male,35-44 Years,"1,356",51
2022-03-12,Male,45-54 Years,"2,236",107
2022-03-12,Male,55-64 Years,"4,997",341
2022-03-12,Male,65-74 Years,"7,300",690
2022-03-12,Male,75-84 Years,"7,939",705
2022-03-12,Male,85+ Years,"6,818",507
2022-03-12,Female,All Ages,"29,306","1,951"
2022-03-12,Female,<1 Years,136,4
2022-03-12,Female,1-4 Years,35,2
2022-03-12,Female,5-14 Years,49,4
2022-03-12,Female,15-24 Years,159,3
2022-03-12,Female,25-34 Years,426,21
2022-03-12,Female,35-44 Years,752,35
2022-03-12,Female,45-54 Years,"1,272",81
2022-03-12,Female,55-64 Years,"3,164",254
2022-03-12,Female,65-74 Years,"5,390",432
2022-03-12,Female,75-84 Years,"7,395",539
2022-03-12,Female,85+ Years,"10,528",576
2022-03-19,All Sex,All Ages,"60,505","3,117"
2022-03-19,All Sex,<1 Years,419,8
2022-03-19,All Sex,1-4 Years,81,1
2022-03-19,All Sex,5-14 Years,112,1
2022-03-19,All Sex,15-24 Years,683,8
2022-03-19,All Sex,25-34 Years,"1,458",29
2022-03-19,All Sex,35-44 Years,"2,075",71
2022-03-19,All Sex,45-54 Years,"3,354",153
2022-03-19,All Sex,55-64 Years,"7,807",445
2022-03-19,All Sex,65-74 Years,"12,464",791
2022-03-19,All Sex,75-84 Years,"15,107",823
2022-03-19,All Sex,85+ Years,"16,945",787
2022-03-19,Male,All Ages,"31,792","1,706"
2022-03-19,Male,<1 Years,236,6
2022-03-19,Male,1-4 Years,52,1
2022-03-19,Male,5-14 Years,73,0
2022-03-19,Male,15-24 Years,491,8
2022-03-19,Male,25-34 Years,"1,038",18
2022-03-19,Male,35-44 Years,"1,369",35
2022-03-19,Male,45-54 Years,"2,100",86
2022-03-19,Male,55-64 Years,"4,734",256
2022-03-19,Male,65-74 Years,"7,254",473
2022-03-19,Male,75-84 Years,"7,806",478
2022-03-19,Male,85+ Years,"6,639",345
2022-03-19,Female,All Ages,"28,713","1,411"
2022-03-19,Female,<1 Years,183,2
2022-03-19,Female,1-4 Years,29,0
2022-03-19,Female,5-14 Years,39,1
2022-03-19,Female,15-24 Years,192,0
2022-03-19,Female,25-34 Years,420,11
2022-03-19,Female,35-44 Years,706,36
2022-03-19,Female,45-54 Years,"1,254",67
2022-03-19,Female,55-64 Years,"3,073",189
2022-03-19,Female,65-74 Years,"5,210",318
2022-03-19,Female,75-84 Years,"7,301",345
2022-03-19,Female,85+ Years,"10,306",442
2022-03-26,All Sex,All Ages,"58,518","2,502"
2022-03-26,All Sex,<1 Years,371,4
2022-03-26,All Sex,1-4 Years,64,3
2022-03-26,All Sex,5-14 Years,115,4
2022-03-26,All Sex,15-24 Years,676,6
2022-03-26,All Sex,25-34 Years,"1,393",25
2022-03-26,All Sex,35-44 Years,"1,990",40
2022-03-26,All Sex,45-54 Years,"3,248",124
2022-03-26,All Sex,55-64 Years,"7,413",350
2022-03-26,All Sex,65-74 Years,"12,102",625
2022-03-26,All Sex,75-84 Years,"14,655",672
2022-03-26,All Sex,85+ Years,"16,491",649
2022-03-26,Male,All Ages,"30,626","1,306"
2022-03-26,Male,<1 Years,205,3
2022-03-26,Male,1-4 Years,39,1
2022-03-26,Male,5-14 Years,69,2
2022-03-26,Male,15-24 Years,475,3
2022-03-26,Male,25-34 Years,988,14
2022-03-26,Male,35-44 Years,"1,262",30
2022-03-26,Male,45-54 Years,"2,021",69
2022-03-26,Male,55-64 Years,"4,495",201
2022-03-26,Male,65-74 Years,"6,989",339
2022-03-26,Male,75-84 Years,"7,613",375
2022-03-26,Male,85+ Years,"6,470",269
2022-03-26,Female,All Ages,"27,892","1,196"
2022-03-26,Female,<1 Years,166,1
2022-03-26,Female,1-4 Years,25,2
2022-03-26,Female,5-14 Years,46,2
2022-03-26,Female,15-24 Years,201,3
2022-03-26,Female,25-34 Years,405,11
2022-03-26,Female,35-44 Years,728,10
2022-03-26,Female,45-54 Years,"1,227",55
2022-03-26,Female,55-64 Years,"2,918",149
2022-03-26,Female,65-74 Years,"5,113",286
2022-03-26,Female,75-84 Years,"7,042",297
2022-03-26,Female,85+ Years,"10,021",380
2022-04-02,All Sex,All Ages,"57,980","1,903"
2022-04-02,All Sex,<1 Years,372,2
2022-04-02,All Sex,1-4 Years,79,1
2022-04-02,All Sex,5-14 Years,103,5
2022-04-02,All Sex,15-24 Years,594,2
2022-04-02,All Sex,25-34 Years,"1,444",21
2022-04-02,All Sex,35-44 Years,"2,046",45
2022-04-02,All Sex,45-54 Years,"3,306",91
2022-04-02,All Sex,55-64 Years,"7,371",235
2022-04-02,All Sex,65-74 Years,"11,672",400
2022-04-02,All Sex,75-84 Years,"14,510",570
2022-04-02,All Sex,85+ Years,"16,483",531
2022-04-02,Male,All Ages,"30,109",979
2022-04-02,Male,<1 Years,208,1
2022-04-02,Male,1-4 Years,46,0
2022-04-02,Male,5-14 Years,61,2
2022-04-02,Male,15-24 Years,435,2
2022-04-02,Male,25-34 Years,987,11
2022-04-02,Male,35-44 Years,"1,363",22
2022-04-02,Male,45-54 Years,"2,073",55
2022-04-02,Male,55-64 Years,"4,489",132
2022-04-02,Male,65-74 Years,"6,620",222
2022-04-02,Male,75-84 Years,"7,400",307
2022-04-02,Male,85+ Years,"6,427",225
2022-04-02,Female,All Ages,"27,871",924
2022-04-02,Female,<1 Years,164,1
2022-04-02,Female,1-4 Years,33,1
2022-04-02,Female,5-14 Years,42,3
2022-04-02,Female,15-24 Years,159,0
2022-04-02,Female,25-34 Years,457,10
2022-04-02,Female,35-44 Years,683,23
2022-04-02,Female,45-54 Years,"1,233",36
2022-04-02,Female,55-64 Years,"2,882",103
2022-04-02,Female,65-74 Years,"5,052",178
2022-04-02,Female,75-84 Years,"7,110",263
2022-04-02,Female,85+ Years,"10,056",306
2022-04-09,All Sex,All Ages,"57,716","1,548"
2022-04-09,All Sex,<1 Years,349,1
2022-04-09,All Sex,1-4 Years,61,2
2022-04-09,All Sex,5-14 Years,104,2
2022-04-09,All Sex,15-24 Years,613,5
2022-04-09,All Sex,25-34 Years,"1,362",21
2022-04-09,All Sex,35-44 Years,"1,995",21
2022-04-09,All Sex,45-54 Years,"3,312",74
2022-04-09,All Sex,55-64 Years,"7,528",198
2022-04-09,All Sex,65-74 Years,"11,695",323
2022-04-09,All Sex,75-84 Years,"14,380",439
2022-04-09,All Sex,85+ Years,"16,317",462
2022-04-09,Male,All Ages,"30,203",826
2022-04-09,Male,<1 Years,202,1
