Date,State,tot_deaths,new_deaths
2021-11-25,TN,"16,957",186
2021-12-02,TN,"17,272",315
2021-12-09,TN,"17,675",403
2021-12-16,TN,"17,912",237
2021-12-23,TN,"20,305","2,393"
2021-12-30,TN,"20,774",469
2022-01-06,TN,"20,959",185
2022-01-13,TN,"21,226",267
2022-01-20,TN,"21,822",596
2022-01-27,TN,"22,304",482
2022-02-03,TN,"22,838",534
2022-02-10,TN,"23,182",344
2022-02-17,TN,"23,902",720
2022-02-24,TN,"24,356",454
2022-03-03,TN,"24,487",131
2022-03-10,TN,"24,706",219
2022-03-17,TN,"25,246",540
2022-03-24,TN,"25,440",194
2022-03-31,TN,"25,514",74
2022-04-07,TN,"25,664",150
2022-04-14,TN,"26,021",357
2022-04-21,TN,"26,102",81
2022-04-28,TN,"26,140",38
2022-05-05,TN,"26,162",22
2022-05-12,TN,"26,198",36
2022-05-19,TN,"26,256",58
2022-05-26,TN,"26,371",115
2022-06-02,TN,"26,468",97
2022-06-09,TN,"26,485",17
2022-06-16,TN,"26,531",46
2022-06-23,TN,"26,608",77
2022-06-30,TN,"26,621",13
2022-07-07,TN,"26,712",91
2022-07-14,TN,"26,768",56
2022-07-21,TN,"26,847",79
2022-07-28,TN,"26,945",98
2022-08-04,TN,"27,026",81
2022-08-11,TN,"27,116",90
2022-08-18,TN,"27,216",100
2022-08-25,TN,"27,311",95
2022-09-01,TN,"27,424",113
2022-09-08,TN,"27,515",91
2022-09-15,TN,"27,531",16
2022-09-22,TN,"27,625",94
2022-09-29,TN,"27,752",127
2022-10-06,TN,"27,866",114
2022-10-13,TN,"27,947",81
2022-10-20,TN,"28,006",59
2022-10-27,TN,"28,066",60
2022-11-03,TN,"28,113",47
2022-11-10,TN,"28,187",74
2022-11-17,TN,"28,223",36
2020-01-23,TX,0,0
2020-01-30,TX,0,0
2020-02-06,TX,0,0
2020-02-13,TX,0,0
2020-02-20,TX,0,0
2020-02-27,TX,0,0
2020-03-05,TX,0,0
2020-03-12,TX,0,0
2020-03-19,TX,5,5
2020-03-26,TX,20,15
2020-04-02,TX,94,74
2020-04-09,TX,239,145
2020-04-16,TX,451,212
2020-04-23,TX,660,209
2020-04-30,TX,854,194
2020-05-07,TX,"1,045",191
2020-05-14,TX,"1,251",206
2020-05-21,TX,"1,524",273
2020-05-28,TX,"1,686",162
2020-06-04,TX,"1,878",192
2020-06-11,TX,"2,045",167
2020-06-18,TX,"2,276",231
2020-06-25,TX,"2,481",205
2020-07-02,TX,"2,820",339
2020-07-09,TX,"3,388",568
2020-07-16,TX,"4,191",803
2020-07-23,TX,"5,273","1,082"
2020-07-30,TX,"7,224","1,951"
2020-08-06,TX,"8,521","1,297"
2020-08-13,TX,"9,754","1,233"
2020-08-20,TX,"11,138","1,384"
2020-08-27,TX,"12,320","1,182"
2020-09-03,TX,"13,249",929
2020-09-10,TX,"14,045",796
2020-09-17,TX,"14,841",796
2020-09-24,TX,"15,469",628
2020-10-01,TX,"16,100",631
2020-10-08,TX,"16,736",636
2020-10-15,TX,"17,264",528
2020-10-22,TX,"17,744",480
2020-10-29,TX,"18,283",539
2020-11-05,TX,"18,914",631
2020-11-12,TX,"19,626",712
2020-11-19,TX,"20,532",906
2020-11-26,TX,"21,636","1,104"
2020-12-03,TX,"22,568",932
2020-12-10,TX,"23,874","1,306"
2020-12-17,TX,"25,208","1,334"
2020-12-24,TX,"26,765","1,557"
2020-12-31,TX,"28,075","1,310"
2021-01-07,TX,"29,698","1,623"
2021-01-14,TX,"31,934","2,236"
2021-01-21,TX,"34,155","2,221"
2021-01-28,TX,"36,524","2,369"
2021-02-04,TX,"38,662","2,138"
2021-02-11,TX,"40,723","2,061"
2021-02-18,TX,"42,036","1,313"
2021-02-25,TX,"43,370","1,334"
2021-03-04,TX,"44,904","1,534"
2021-03-11,TX,"46,155","1,251"
2021-03-18,TX,"47,093",938
2021-03-25,TX,"47,897",804
2021-04-01,TX,"48,410",513
2021-04-08,TX,"49,053",643
2021-04-15,TX,"49,479",426
2021-04-22,TX,"49,852",373
2021-04-29,TX,"50,203",351
2021-05-06,TX,"50,570",367
2021-05-13,TX,"50,872",302
2021-05-20,TX,"51,145",273
2021-05-27,TX,"51,409",264
2021-06-03,TX,"51,627",218
2021-06-10,TX,"51,857",230
2021-06-17,TX,"52,042",185
2021-06-24,TX,"52,215",173
2021-07-01,TX,"52,375",160
2021-07-08,TX,"52,523",148
2021-07-15,TX,"52,707",184
2021-07-22,TX,"52,885",178
2021-07-29,TX,"53,149",264
2021-08-05,TX,"53,473",324
2021-08-12,TX,"54,007",534
2021-08-19,TX,"54,808",801
2021-08-26,TX,"56,017","1,209"
2021-09-02,TX,"57,643","1,626"
2021-09-09,TX,"59,238","1,595"
2021-09-16,TX,"61,298","2,060"
2021-09-23,TX,"63,261","1,963"
2021-09-30,TX,"65,310","2,049"
2021-10-07,TX,"67,107","1,797"
2021-10-14,TX,"68,631","1,524"
2021-10-21,TX,"69,931","1,300"
2021-10-28,TX,"71,024","1,093"
2021-11-04,TX,"71,784",760
2021-11-11,TX,"72,461",677
2021-11-18,TX,"73,174",713
2021-11-25,TX,"73,717",543
2021-12-02,TX,"74,034",317
2021-12-09,TX,"74,461",427
2021-12-16,TX,"74,873",412
2021-12-23,TX,"75,287",414
2021-12-30,TX,"75,695",408
2022-01-06,TX,"76,225",530
2022-01-13,TX,"76,919",694
2022-01-20,TX,"77,700",781
2022-01-27,TX,"78,881","1,181"
2022-02-03,TX,"80,280","1,399"
2022-02-10,TX,"81,605","1,325"
2022-02-17,TX,"83,041","1,436"
2022-02-24,TX,"84,271","1,230"
2022-03-03,TX,"85,265",994
2022-03-10,TX,"85,985",720
2022-03-17,TX,"86,498",513
2022-03-24,TX,"86,899",401
2022-03-31,TX,"87,382",483
2022-04-07,TX,"87,571",189
2022-04-14,TX,"87,780",209
2022-04-21,TX,"87,924",144
2022-04-28,TX,"88,030",106
2022-05-05,TX,"88,105",75
2022-05-12,TX,"88,183",78
2022-05-19,TX,"88,242",59
2022-05-26,TX,"88,301",59
2022-06-02,TX,"88,332",31
2022-06-09,TX,"88,386",54
2022-06-16,TX,"88,469",83
2022-06-23,TX,"88,539",70
2022-06-30,TX,"88,635",96
2022-07-07,TX,"88,736",101
2022-07-14,TX,"88,861",125
2022-07-21,TX,"88,992",131
2022-07-28,TX,"89,157",165
2022-08-04,TX,"89,383",226
2022-08-11,TX,"89,577",194
2022-08-18,TX,"89,784",207
2022-08-25,TX,"89,974",190
2022-09-01,TX,"90,172",198
2022-09-08,TX,"90,306",134
2022-09-15,TX,"90,450",144
2022-09-22,TX,"90,600",150
2022-09-29,TX,"90,733",133
2022-10-06,TX,"90,845",112
2022-10-13,TX,"90,950",105
2022-10-20,TX,"91,034",84
2022-10-27,TX,"91,130",96
2022-11-03,TX,"91,193",63
2022-11-10,TX,"91,252",59
2022-11-17,TX,"91,308",56
2020-01-23,UT,0,0
2020-01-30,UT,0,0
2020-02-06,UT,0,0
2020-02-13,UT,0,0
2020-02-20,UT,0,0
2020-02-27,UT,0,0
2020-03-05,UT,0,0
2020-03-12,UT,0,0
2020-03-19,UT,0,0
2020-03-26,UT,1,1
2020-04-02,UT,5,4
2020-04-09,UT,13,8
2020-04-16,UT,20,7
2020-04-23,UT,32,12
2020-04-30,UT,45,13
2020-05-07,UT,57,12
2020-05-14,UT,74,17
2020-05-21,UT,88,14
2020-05-28,UT,102,14
2020-06-04,UT,115,13
2020-06-11,UT,126,11
2020-06-18,UT,146,20
2020-06-25,UT,158,12
2020-07-02,UT,168,10
2020-07-09,UT,194,26
2020-07-16,UT,224,30
2020-07-23,UT,250,26
2020-07-30,UT,283,33
2020-08-06,UT,316,33
2020-08-13,UT,352,36
2020-08-20,UT,377,25
2020-08-27,UT,401,24
2020-09-03,UT,408,7
2020-09-10,UT,425,17
2020-09-17,UT,435,10
2020-09-24,UT,442,7
2020-10-01,UT,457,15
2020-10-08,UT,497,40
2020-10-15,UT,526,29
2020-10-22,UT,554,28
2020-10-29,UT,581,27
2020-11-05,UT,627,46
2020-11-12,UT,684,57
2020-11-19,UT,746,62
2020-11-26,UT,837,91
2020-12-03,UT,908,71
2020-12-10,UT,995,87
2020-12-17,UT,"1,100",105
